name,duration_in_days,points,comment,created_by
test,3,200,Hurrey! You have 3 streaks. You have received 200 @atpace points . ,admin
test,7,300,Yay! You have 7 streaks. We have added 300 @atpace points for that. Keep exploring...,admin
test,14,500,Amazing! Your streaks are 14. You have got 500 @atpace points. Keep going...,admin
test,30,1000,Hurrey! You have connected with us since one month. We have added 1000 @atpace points in your account. Keep learning...,admin
test,60,1500,Bravo! You have completed 60 streaks. Here are 1500 @atpace points for you.,admin
test,90,2000, Wow! You have achieved 90 streaks. You have received 2000 @atpace points for that.,admin
test,180,3000,Awesome! You have completed 180 streaks. Here are 3000 @atpace points for you. ,admin
test,365,5000,Fantastic! You have connected with us since one year. We have added 5000 @atpace points in your account. Keep learning...,admin
